text,aspect,classification_method
말차맛 볶은쌀맛 많이 안 달고 고소함,,
맛은 말할 것도 없고요!,,
전부 시음해보고 메론맛이랑 시나몬약과맛이랑 겟겟,,
커피믹스 계에 애플입니다.,,
시음해보고 들어갔는데 진짜 메로나맛^^ 너무 맛있어요~~,,
바나나우유맛도 너무 맛있었어요,,
존맛!!!!!,,
전 오리지널이 깔끔하고 먹고나서도 텁텁하지 않아 좋았어요.,,
😅😅,,
오~~,,
기분좋게 갔다가 화병나서 갑니다,,
시음을 못해서 아쉬웠어요.,,
"저는 오리지날, 동생은 볶음쌀이 좋다고 합니다.",,
좋은 우유분말을 써서 고급지고 부드러운 맛이 납니다.,,
맛은 그냥 아는 맛...?,,
그냥 일반믹스가 맛있음,,
"양이 좀 적긴하지만
근데 진심 오란다는……….",,
맛없어요,,
"여름이 가기 전에 꼭 팥빙수 슬러시를 먹고 싶었는데, 놓치지 않았네요!",,
완전 추천합니다.,,
호호 >.<,,
뉴믹스 궁금해서 와봤어요,,
✨️,,
대신 달아요~,,
믹스를 쌀맛으로 즐겼어요 ㅎㅎㅎ,,
맛있고 깔끔해요!!,,
슬러쉬도 맛있었어용,,
달달하니 한입 컷으로 다 쪽 빨아먹었다지 뭐예요,,
흑임자도 맛있고 오리지널도 너무 추천합니다..,,
오란다는 사랑 그 자체,,
"테이크 아웃해서
근처에서 먹기 좋아요",,
지난번에 맛있게 먹어서 성수 놀려온 김에 또 사려 왔어용♡,,
💗,,
뉴믹스했어요,,
슬러시 넘 시원하고 좋아요!,,
오란다도 맛있어요~,,
녹차슬러시 맛있음,,
오리지널 슬러시는 더위사냥 맛 무난하게 맛있음,,
지나가면서 항상 보여서 한번 들어가봤어요.,,
확실히 맥심골드보다 달달하고 맛있네요!,,
아이스 밤라떼는 꼬숩고 바밤바 맛이 나요!,,
"저는 군밤맛, 친구는 볶은쌀맛으로 시켰는데 2개 모두 맛있어용!!",,
성수에 오신다면 뉴믹스 추천드립니당~~~,,
카페까지 가서 믹스거피를?,,
굳이?,,
끝맛은 텁텁,,
뉴믹스!!!!!!,,
사간 오리지날 믹스는 맛있었다.,,
궁금했는데 맛이 좋아요!,,
시음하고 맛있어서 사먹었어요 ㅋㅋㅋ,,
개인적으로는 맥심이 더 맛나네요,,
오란다..,,
아는 맛..,,
쏘쏘합니다,,
정말 좋아요,,
인스타그램에서만 보다가 드디어 왔습니다!!!,,
신기해요,,
재미있어요,,
또오고 싶어욥!,,
👍👍👍,,
감사합니다,,
💗💗,,
뉴믹스 핫해용,,
신기함!!!,,
메뉴가 신기하고 독특해요!,,
인스타에서 보고 왔는데 너무 신기했어요!,,
좋아요!!!,,
할매입맛인 제게 볶음쌀맛이 딱,,
👍👍,,
굉장히 신선한 컨셉이네요,,
맛도 독특하네요,,
흥하세요,,
🔥,,
담에 오란다랑 먹어보려구요!,,
맛있어요,,
다음에또올게요,,
신박합니다,,
역시.,,
😚,,
자리 없어요,,
참고하세요,,
느낌 좋아요,,
"🥲
커피슬러쉬 2500원인데 넘 맛있어요",,
아이랑 같이.,,
즐겁습니다!,,
들렸다 갑니다,,
🤩,,
넘 좋아용 ;),,
최고,,
나중에 또 와보겠습니당,,
와보고 싶었는데 친구랑 드뎌 왔음 ^^,,
"너무 좋아요오,,!",,
앞에서 시음해보고 바로 들어왔어요!,,
군밤맛 너무 맛있어요!,,
지나가다가  시음해주셔서 들러봤어요!!,,
배민 창업자분들 새로 론칭하셨다고 들어는 봤는데  진짜 우리가 아는 그 익숙한 맥심맛! ㅋㅋㅋㅋㅋ,,
달달하니 맛있었어요,,
존맛탱 흥해랏~~,,
"아직 안 먹었지만, 군밤맛 추천해요ㅎㅎ",,
부모님이랑 왔어요,,
기대 안했는데 넘 맛있었어요!,,
"☺️
오란다도 맛있구요",,
배민 김봉진 대표님께서 새로 런칭히신 F&B브랜드라고 하여 와보았다!,,
감각적임,,
엄청 기대하고 갔는데..,,
기대보다 훨씬 맛있어요……❤️‍🔥,,
구매 후 담아갈 종이백이 없어 방수팩을 주셨는데 이 부분이 신선하면서도 아쉽게 다가왔습니다.,,
번창하세요!,,
너무맛있어여,,
😍,,
꼬숩고 부드러워요,,
브랜딩도 재밌네요,,
맛있어요!,,
추천합니다!,,
맛있어요!!,,
되게신기해요!!!,,
너무 맛있어요,,
완전 신세계에요,,
가장 고전적이고 혁신적인 맛!!,,
달다구리 최고에요!!,,
화려해요,,
맛도 기대되요,,
지인에게 추천받아 왔습니다.,,
뉴믹스 궁금해서 와봤어욤 !!,,
"메뉴를 초이스하면 컵안에 도넛츠 모양
토핑돤 오란다갸  나온다.",,
흠~맛은 오란다에 토핑맛이 강하다.,,
"맛이 오묘하고~달달하니~정신번쩍~입 힐링~
변헝된 오란다~",,
힙하다~힙해~아이디어굿,,
오란다,,
짱,,
드디어왔다!!!!!:),,
힙하다 힙해👀🤍,,
완전 신선합니다 ✨✨✨,,
뉴믹스 오리지널 볶은쌀맛 너무 맛있어요ㅎㅎ,,
아이디어 너무 좋네요!,,
와보고 싶었어요,,
"최고최고 마싯소요~~~
회사가 가까워서 자주와용~~!!!",,
기대됩니다!,,
새로생긴 뉴믹스 맛있어요!,,
메뉴 특이하고 맛있습니다.,,
"😋
🍊오란다",,
👍🏻,,
☕️,,
재밌어요,,
👍🏻👍🏻👍🏻👍🏻🥰🥰🥰,,
궁금했었는데 맛있게 먹었습니당!,,
